Date,Open,High,Low,Close,Volume
0,137.45401188473625,260.75448519014384,69.4338644844741,111.95942459383016,1436825
1,195.07143064099162,217.05241236872916,63.567451588694794,171.3244787222995,175766
2,173.19939418114052,206.50515929852796,91.43687545759647,176.07850486168974,508923
3,159.86584841970367,294.88855372533334,67.83766633467947,156.12771975694963,1563768
4,115.60186404424365,296.5632033074559,64.04672548436903,177.09671799545612,668550
5,115.59945203362027,280.8397348116461,77.13480415791243,149.37955963643907,487261
6,105.80836121681995,230.46137691733708,57.04621124873813,152.2732829381994,910208
7,186.6176145774935,209.7672114006384,90.10984903770199,142.75410183585495,785440
8,160.1115011743209,268.4233026512157,53.727532183988544,102.54191267440952,1801240
9,170.80725777960456,244.01524937396013,99.34434683002587,110.78914269933044,1084346
10,102.05844942958025,212.20382348447788,88.61223846483287,103.14291856867342,1603165
11,196.99098521619942,249.51769101112703,59.93578407670862,163.64104112637804,237848
12,183.24426408004217,203.43885211152184,50.27610585618012,131.43559810763267,717075
13,121.23391106782762,290.93204020787823,90.77307142274171,150.85706911647029,227948
14,118.18249672071006,225.87799816000168,85.34286719238085,190.7566473926093,1727880
15,118.34045098534338,266.2522284353982,86.45035840204937,124.92922291488749,502690
16,130.42422429595376,231.1711076089411,88.56351733429729,141.03829230356297,599046
17,152.4756431632238,252.0068021177811,53.70223258670452,175.55511385430486,551269
18,143.1945018642116,254.67102793432798,67.92328642721363,122.87981654916224,121959
19,129.1229140198042,218.4854455525527,55.79345297625649,107.6979909828793,1809466
20,161.18528947223794,296.95846277645586,93.15517129377967,128.9751452913768,1898792
21,113.94938606520418,277.51328233611144,81.1649063413779,116.12212872540044,1938756
22,129.2144648535218,293.9498941564189,66.54490124263246,192.9697652342573,328576
23,136.63618432936917,289.4827350427649,53.177917514301186,180.8120379564417,1115602
24,145.6069984217036,259.7899978811085,65.54911608578311,163.34037565104234,1686409
25,178.51759613930136,292.1874235023117,66.25916610133736,187.14605901877178,1014091
26,119.96737821583598,208.84925020519194,86.4803089169032,180.36720768991145,265838
27,151.42344384136118,219.5982862419145,81.87787356776066,118.65700588860358,1484250
28,159.24145688620425,204.52272889105382,94.36063712881634,189.25589984899779,161087
29,104.64504127199977,232.53303307632643,73.61074625809746,153.93422419156508,1113343
